member_id,full_name,age,county,employment_sector,employer_name,monthly_contribution,date_joined,phone_number,gender,member_status,remarks
SACCO-0229,Omondi Kiprotich,29 years,Tana River,Manufacturing,Nation Media Group,,2019-09,254748039455,F,Active,
SACCO-0230,Karanja Wanjiku,,Machakos,Agriculture,NHIF,,2022-03,0768679929,m,INACTIVE,
SACCO-0231,Mercy Korir,33,Laikipia,Trade,Teachers Service Commission,9930.0,Dec-2021,0706159129,M,active,Follow up
SACCO-0232,Faith Kamau,45 years,Kilifi,Agriculture,Standard Chartered,"KES 4,082",2022-05,254792597136,f,active,
SACCO-0233,Wafula Wekesa,32,Samburu,Public Service,Teachers Service Commission,"KES 23,087",03/2022,+254748130331,f,inactive,
SACCO-0234,Chebet Njoroge,48,Kiambu,Trade,Deloitte Kenya,17339,12/2023,0775834657,FEMALE,inactive,
SACCO-0235,Catherine Wanjiku,37,Makueni,Transport,Deloitte Kenya,"KES 4,782",Oct-2023,,Male,active,
SACCO-0236,Kiptoo Mutuku,43,Nakuru,Finance,KRA,"KES 3,897",2021-07,+254710580463,f,Inactive,
SACCO-0237,Faith abubakar,63,Homa Bay,Public Service,Equity Bank,,2015-02,+254783089652,MALE,active,
SACCO-0238,Mercy Abubakar,36,Bomet,Finance,World Vision Kenya,23708.0,12/2022,+254796088283,M,ACTIVE,
SACCO-0239,Halima Cheruiyot,57yrs,Wajir,Agriculture,Equity Bank,2.3K,2022-03,254799658124,M,active,
SACCO-0240,Juma Ogutu,43,Migori,Agriculture,Kenya Pipeline Company,1159.0,2024-02,+254760465703,Female,active,
SACCO-0241,Wanjiku Kiprotich,49,Taita-Taveta,Finance,World Vision Kenya,,12/2017,254798045333,M,ACTIVE,
SACCO-0242,Mohamed Kiprotich,60,Murang'a,Trade,Standard Chartered,22.2K,2019-08,+254718546206,m,ACTIVE,
SACCO-0243,Catherine Onyango,57yrs,Bungoma,Manufacturing,Nation Media Group,7046.0,Nov-2020,+254795347796,FEMALE,active,
SACCO-0244,Mohamed wanjiku,52yrs,Makueni,Transport,Absa Kenya,,2023-05,254756691738,Male,Active,
SACCO-0245,Florence Ochieng,32,Lamu,Trade,Kenya Railways,6.1K,2019-04,0704336089,Male,active,
SACCO-0246,Rose Sigei,46,Wajir,Trade,Kenya Red Cross,16338.0,07/2021,0791959110,Male,Active,
SACCO-0247,Joseph Sigei,36,Mandera,Transport,Deloitte Kenya,"KES 3,719",2024-09,254726369633,FEMALE,Active,
SACCO-0248,Agnes Mutuku,54,Kisumu,Public Service,Kisumu County Govt,"KES 3,411",03/2017,0734227688,Male,INACTIVE,Pending docs
SACCO-0249,MOHAMED Kamau,61,Kajiado,Public Service,Teachers Service Commission,"KES 2,234",2020-02,+254742662313,FEMALE,active,
SACCO-0250,Kiptoo Muthoni,44,Kericho,Transport,Kenya Airways,16680,2019-04,+254782984217,FEMALE,inactive,
SACCO-0251,Wanjiku Kimani,63yrs,Elgeyo-Marakwet,Manufacturing,Equity Bank,74360.0,2020-07,0715216804,Male,Active,
SACCO-0252,Zawadi Kiprotich,,Kitui,Manufacturing,Kenya Airways,"KES 43,343",2016-03,+254772205759,Female,Active,
SACCO-0253,Karanja Sigei,35yrs,Wajir,Transport,World Vision Kenya,,12/2016,+254703188066,F,Active,
SACCO-0254,OWINO Onyango,38,Busia,Transport,Standard Chartered,"KES 7,194",07/2015,0771784254,m,Active,
SACCO-0255,Otieno Wanjiku,54,Lamu,Trade,Nation Media Group,10385,Jul-2022,0788680762,M,Active,
SACCO-0256,Ann Korir,65,Nyamira,Transport,Cooperative Bank,,2015-09,0718974879,M,active,
SACCO-0257,Njeri Korir,44,Kitui,ICT,Total Kenya,5236,04/2017,0733922427,M,inactive,
SACCO-0258,Rose Waithera,64,Meru,Manufacturing,AMREF,26802.0,Jun-2020,0787976094,F,Active,
SACCO-0259,Daniel Waithera,59,West Pokot,Trade,Teachers Service Commission,7116,Mar-2021,254733041067,m,active,
SACCO-0260,Zawadi Wekesa,52,Nandi,ICT,Mombasa County Govt,"KES 6,565",03/2016,254711002322,f,Active,
SACCO-0261,Owino Mutua,26,Garissa,Transport,Kenya Power,,2024-07,,Male,active,Follow up
SACCO-0262,Emmanuel Otieno,36,Samburu,Transport,,76918,09/2022,0753255602,M,Active,Pending docs
SACCO-0263,Joseph Mwangi,50,West Pokot,Finance,PWC Kenya,,2017-12,0748156722,m,Active,
SACCO-0264,Odhiambo Ochieng,,Kwale,Agriculture,Equity Bank,3.9K,2020-02,+254769977486,F,ACTIVE,
SACCO-0265,James Kipchoge,59yrs,Kiambu,Finance,Kisumu County Govt,"KES 24,646",09/2018,+254746309454,Male,active,
SACCO-0266,Chebet Waithera,63,Kakamega,Manufacturing,KEBS,"KES 6,383",Nov-2016,254744322017,Male,active,
SACCO-0267,  Kiptoo Otieno,24,Samburu,Manufacturing,Kenya Railways,6787.0,Oct-2015,0722325960,M,INACTIVE,
SACCO-0268,JAMES Otieno,64,Machakos,Manufacturing,Kenya Breweries,17208.0,Aug-2022,+254755132193,f,inactive,
SACCO-0269,Florence Kiprotich,43,Baringo,Finance,KCB Group,4143,Mar-2021,+254727158762,MALE,ACTIVE,
SACCO-0270,Paul Kimani,60,Marsabit,Finance,World Vision Kenya,38168,Nov-2022,+254780996996,M,INACTIVE,
SACCO-0271,Grace Kiprotich,55,Taita-Taveta,ICT,World Vision Kenya,,2024-12,+254793510511,F,Active,
SACCO-0400,Njeri Korir,38,Mandera,Transport,Teachers Service Commission,13423,02/2023,,m,Inactive,
SACCO-0273,Rotich Muthoni,56,Trans-Nzoia,Finance,Kisumu County Govt,6.9K,04/2021,+254774834795,F,active,
SACCO-0274,Hassan Odongo,30,Makueni,Agriculture,AMREF,4223,Feb-2017,254753762374,f,active,
SACCO-0275,Achieng Kipchoge,27,Taita-Taveta,Finance,Absa Kenya,15158,Apr-2019,0781742470,F,INACTIVE,
SACCO-0276,Mary Korir,33yrs,Busia,Agriculture,Nairobi City County,18.2K,May-2023,+254780465529,m,active,
SACCO-0277,Zawadi Nyambura,27,Homa Bay,Trade,PWC Kenya,"KES 15,400",04/2024,,MALE,active,
SACCO-0278,Rose Odongo,39,Bungoma,Public Service,Kenya Pipeline Company,"KES 17,874",May-2015,0767946127,M,Active,
SACCO-0384,John Gathoni,58,Busia,Public Service,East African Breweries,"KES 70,151",2018-06,+254761585593,MALE,inactive,
SACCO-0280,Owino Mutuku,36yrs,Embu,ICT,Kenya Airways,"KES 2,755",09/2020,254794062273,F,Active,
SACCO-0281,Abdi Mutuku,42,West Pokot,Trade,KEBS,9.2K,2018-08,254731522559,f,Active,
SACCO-0282,Adhiambo Cheruiyot,28,Machakos,Transport,PWC Kenya,"KES 4,999",2015-09,0764732147,F,inactive,
SACCO-0283,James Sigei,54,Embu,ICT,East African Breweries,31295,07/2023,0772580645,F,inactive,
SACCO-0284,Mercy Kimani,22,Kericho,Public Service,East African Breweries,20183,2020-10,+254725119175,F,active,
SACCO-0285,Zawadi Kipchoge,45,Homa Bay,Trade,Kenya Breweries,20874,10/2017,254713404289,f,active,
SACCO-0286,Ndegwa Wekesa,52 years,Kilifi,Public Service,BAT Kenya,43032,2023-09,0765313057,Female,active,Pending docs
SACCO-0287,CATHERINE Kipchoge,52,Meru,Public Service,AMREF,6039,06/2020,0734589898,F,Inactive,
SACCO-0288,Paul Ogutu,,Laikipia,Trade,Kenya Airways,,12/2022,0710523679,F,active,
SACCO-0289,Kiptoo Otieno,62yrs,Homa Bay,ICT,Kenya Pipeline Company,4699,Jun-2017,+254742530677,m,active,
SACCO-0290,Faith Njenga,59yrs,Busia,Public Service,KEBS,4423,2015-03,0788855162,m,ACTIVE,
SACCO-0291,Juma kimani,52yrs,Mombasa,ICT,Standard Chartered,KES 753,Feb-2016,0720840572,MALE,Inactive,
SACCO-0292,Samuel Korir,55,Mombasa,Agriculture,PWC Kenya,"KES 7,894",08/2020,,Male,Active,
SACCO-0293,Ann Kipchoge,62,Vihiga,Finance,Deloitte Kenya,,06/2019,254730484663,Male,Inactive,
SACCO-0294,HASSAN Kariuki,30,Taita-Taveta,Finance,Kenya Power,6092.0,Aug-2022,254757772049,Female,inactive,
SACCO-0295,Ndegwa Muthoni,37,Kitui,Public Service,NHIF,,02/2019,+254732153442,f,active,
SACCO-0296,Amina Korir,39,Kiambu,Manufacturing,Kenya Railways,10200,10/2022,+254794015840,M,Active,
SACCO-0297,Ann Kariuki,39,Busia,Transport,Kenya Power,6480,01/2017,+254745890766,f,active,
SACCO-0298,CATHERINE Kiptoo,31,Homa Bay,Agriculture,,"KES 3,461",2018-05,0701693222,m,Active,
SACCO-0299,  Faith Nyambura,,Meru,Finance,PWC Kenya,,07/2022,,M,ACTIVE,
SACCO-0300,Rose kiprotich,41,Nakuru,ICT,PWC Kenya,19969,04/2016,0743555463,f,active,
SACCO-0301,Adhiambo Kariuki,52yrs,Kakamega,Trade,World Vision Kenya,3369,Aug-2017,0783033107,FEMALE,ACTIVE,
SACCO-0302,Halima otieno,28,Embu,Trade,Bamburi Cement,3.7K,2020-08,+254702865928,F,Active,
SACCO-0303,Daniel Wanjiku,53,Kilifi,Finance,Cooperative Bank,53367,2022-05,,Male,Active,
SACCO-0304,Fatuma Cheruiyot,22 years,Garissa,Public Service,AMREF,1456,2015-10,0783241474,m,ACTIVE,
SACCO-0305,Baraka Ogutu,57,Laikipia,Trade,Absa Kenya,6300.0,02/2016,0708949617,MALE,Active,
SACCO-0306,  Omondi Njoroge,63,Makueni,Public Service,Total Kenya,4567.0,May-2024,+254729624910,M,INACTIVE,
SACCO-0307,Daniel Bett,62,Turkana,Transport,Kenya Ports Authority,KES 660,Dec-2020,0782803389,M,Active,
SACCO-0308,Karanja kiprotich,56,Bungoma,Finance,,6199,2017-09,254755725133,m,active,
SACCO-0309,Catherine Mwangi,33yrs,Garissa,Trade,,11987,2024-08,+254742299387,FEMALE,inactive,
SACCO-0310,Beatrice Muthoni,37yrs,Kericho,Public Service,,"KES 2,027",2019-06,,M,Active,
SACCO-0311,Kamau kiprotich,,Embu,Manufacturing,NSSF Kenya,6515,09/2019,,M,Active,
SACCO-0312,Chebet Gathoni,36,Kajiado,Agriculture,East African Breweries,,Dec-2018,,M,inactive,
SACCO-0313,James Cheruiyot,41,West Pokot,Public Service,,21.4K,2020-06,+254758291349,f,inactive,
SACCO-0314,  Esther Sigei,62,Kajiado,Finance,,1718,Mar-2024,0793652923,M,ACTIVE,
SACCO-0315,Faith Njenga,36,Homa Bay,Manufacturing,Kenya Railways,4996,2022-10,0773571770,M,active,
SACCO-0316,Chebet njenga,53,West Pokot,Manufacturing,Bamburi Cement,,Apr-2023,254735736421,F,INACTIVE,
SACCO-0317,Florence Muthoni,42,Kitui,Agriculture,World Vision Kenya,3604,2020-10,+254759352435,Male,INACTIVE,
SACCO-0318,Agnes rotich,27,Nakuru,Manufacturing,Nation Media Group,3.2K,Jan-2019,0714935479,Male,Inactive,
SACCO-0319,Karanja Ogutu,57,Nyamira,Manufacturing,Kenya Red Cross,12555.0,07/2015,,F,Active,
SACCO-0320,Catherine Kamau,,Makueni,Trade,,1.5K,Feb-2020,0787162488,FEMALE,active,
SACCO-0321,Mohamed Njoroge,33,Kwale,Finance,Kenya Pipeline Company,16050.0,2015-04,0740926679,F,Active,
SACCO-0322,Halima Rotich,54,Nakuru,Transport,Kisumu County Govt,,2015-09,0730277197,MALE,ACTIVE,
SACCO-0323,Baraka Kiprotich,62yrs,Migori,Manufacturing,East African Breweries,3946,Oct-2019,0772777382,Female,active,
SACCO-0324,Ndegwa sigei,55,Vihiga,ICT,,14893.0,Mar-2024,+254774804948,m,Active,
SACCO-0325,ROTICH Mutua,48,Kajiado,Public Service,AMREF,43.1K,2019-03,0714330619,M,INACTIVE,
SACCO-0326,Paul Odongo,36yrs,Nandi,Agriculture,Kenya Red Cross,,2017-09,254762916371,F,inactive,
SACCO-0327,  Chebet Kipchoge,22,Migori,Manufacturing,AMREF,6873.0,Apr-2018,254758959861,Male,Inactive,
SACCO-0328,  Adhiambo Muthoni,46 years,Homa Bay,Finance,AMREF,"KES 3,936",09/2023,254794504386,Male,active,
SACCO-0329,Otieno Bett,47,Kisumu,Finance,Standard Chartered,"KES 33,754",Apr-2015,,m,Active,
SACCO-0330,Fatuma Kamau,31,Kitui,Public Service,KCB Group,2985.0,2016-03,+254793430858,F,Inactive,
SACCO-0331,Mercy Odongo,51,Narok,Transport,Deloitte Kenya,,2017-12,0712239481,Male,Inactive,
SACCO-0332,Baraka Mutua,32,Siaya,Agriculture,World Vision Kenya,3854,2020-10,0720144703,M,ACTIVE,
SACCO-0333,Hassan Korir,40yrs,Nyeri,Manufacturing,Nairobi City County,6670,01/2019,,M,inactive,
SACCO-0334,Peter Mwangi,27yrs,Nairobi,Manufacturing,Kenya Ports Authority,KES 725,11/2024,0727868647,M,ACTIVE,
SACCO-0335,Otieno Mwangi,43,Nakuru,Agriculture,Absa Kenya,,Nov-2017,+254788707799,Female,inactive,
SACCO-0336,Mercy Mutua,27 years,Narok,Trade,,"KES 5,393",2016-07,0708714202,M,ACTIVE,
SACCO-0337,Mary Muthoni,61,West Pokot,Transport,Deloitte Kenya,"KES 6,927",2016-08,,FEMALE,Active,
SACCO-0338,Mohamed Gathoni,44,Elgeyo-Marakwet,Finance,BAT Kenya,"KES 15,022",2022-08,0781793056,F,Active,
SACCO-0339,Mercy Otieno,35 years,Migori,Public Service,Equity Bank,,Nov-2023,0785982334,F,inactive,
SACCO-0340,  John Onyango,65,Homa Bay,Transport,East African Breweries,6100.0,Mar-2015,,Male,active,
SACCO-0341,Chebet njoroge,56,Kwale,ICT,NHIF,"KES 5,048",Sep-2015,+254797303041,Male,Active,
SACCO-0944,Abdi Kiptoo,26,Nyandarua,ICT,Kenya Power,15996,11/2021,+254722276047,F,active,
SACCO-0343,Hassan Wanjiku,39,Tana River,Manufacturing,Cooperative Bank,"KES 34,007",04/2019,0723489813,f,inactive,
SACCO-0344,FAITH Kiprotich,54,Bomet,Public Service,AMREF,37.9K,Jun-2019,254713187101,MALE,ACTIVE,
SACCO-0425,Moses Ochieng,55,Kajiado,Agriculture,PWC Kenya,5.1K,06/2016,0706192775,m,ACTIVE,
SACCO-0346,Hassan Otieno,34,Marsabit,Trade,World Vision Kenya,,May-2016,0736726921,FEMALE,active,
SACCO-0347,Ann Rotich,40yrs,Uasin Gishu,Agriculture,Mombasa County Govt,3620.0,09/2020,0717458237,MALE,Active,
SACCO-0348,Njeri Muthoni,59yrs,Wajir,Transport,,516.0,2019-06,254795683641,f,Active,
SACCO-0349,Mercy odongo,51,Kajiado,Transport,Deloitte Kenya,48723.0,Aug-2022,,MALE,Active,
SACCO-0350,Mutua Wanjiku,42,Mombasa,Agriculture,BAT Kenya,1743,2022-08,254737883942,Female,Active,
SACCO-0351,Ruth kiptoo,26 years,Marsabit,Public Service,Standard Chartered,,Oct-2018,,F,Inactive,
SACCO-0352,Peter Muthoni,43yrs,Murang'a,Manufacturing,PWC Kenya,35716.0,Aug-2024,+254780003898,Male,inactive,
SACCO-0353,Juma Mutuku,60 years,Siaya,Trade,BAT Kenya,1569.0,Feb-2015,,MALE,active,
SACCO-0354,Rotich mwangi,46yrs,Busia,Manufacturing,,3944.0,05/2020,0791208855,FEMALE,Inactive,
SACCO-0355,Halima Mutuku,54,Kisii,ICT,Mombasa County Govt,,Jan-2023,254775165988,F,inactive,
SACCO-0356,Adhiambo Muthoni,42 years,Homa Bay,Public Service,Absa Kenya,,Aug-2017,0774547422,MALE,inactive,
SACCO-0357,Florence wekesa,23,Tana River,Transport,Absa Kenya,6.4K,Feb-2017,254755815175,MALE,ACTIVE,
SACCO-0358,Joseph Kipchoge,50,Embu,Manufacturing,Absa Kenya,,2024-08,254731776042,F,INACTIVE,
SACCO-0359,Otieno Ochieng,29yrs,Wajir,Agriculture,Kenya Railways,11420.0,05/2023,+254710500470,Female,Active,
SACCO-0360,FLORENCE Mwangi,59,Nakuru,Trade,Bamburi Cement,8301.0,08/2022,+254762979305,F,Inactive,
SACCO-0361,Fatuma Korir,60 years,Nyamira,ICT,East African Breweries,67468,Oct-2022,+254706928303,F,ACTIVE,
SACCO-0362,Daniel mutuku,39,Elgeyo-Marakwet,Trade,Kisumu County Govt,1.1K,Dec-2015,,m,ACTIVE,
SACCO-0363,Mutua Gathoni,33 years,Kisumu,Trade,KCB Group,3.7K,2024-03,254755424925,F,Inactive,
SACCO-0364,Karanja Odongo,63,Nyeri,Agriculture,KEBS,"KES 8,699",05/2022,0771473736,m,Inactive,
SACCO-0365,Mary Sigei,50,Narok,Finance,PWC Kenya,5.6K,09/2016,+254757953319,Female,Active,
SACCO-0366,Omondi Gathoni,65 years,Nyamira,Transport,,1639.0,06/2023,0724148004,M,Active,
SACCO-0367,Salome Kimani,44,Laikipia,Trade,Nairobi City County,690,Feb-2024,+254779743930,f,INACTIVE,
SACCO-0368,Ruth kimani,46yrs,Kitui,Finance,Teachers Service Commission,,Dec-2016,+254739536330,MALE,active,
SACCO-0369,Amina Njenga,42,Kiambu,Trade,World Vision Kenya,42364,2021-06,,F,Inactive,
SACCO-0370,Ndegwa Kamau,28,Vihiga,Manufacturing,Nation Media Group,,Dec-2022,0704678950,Female,Active,
SACCO-0371,  Daniel Wekesa,24yrs,Nyandarua,Manufacturing,Kenya Red Cross,6602,Oct-2021,,Male,Inactive,
SACCO-0372,Mwangi Onyango,52,Marsabit,Trade,Kenya Airways,42568.0,01/2021,0786848857,Male,INACTIVE,
SACCO-0373,Mercy Njenga,33yrs,Siaya,Transport,Nairobi City County,,02/2021,+254748219211,MALE,Inactive,
SACCO-0374,OTIENO Ogutu,37,Kiambu,ICT,,3894.0,2022-09,,M,Inactive,
SACCO-0375,Moses Ochieng,63yrs,Kwale,Transport,NSSF Kenya,0.6K,12/2017,0709668169,M,ACTIVE,
SACCO-0376,Joseph Ochieng,22,Nakuru,Trade,NHIF,2.6K,Oct-2022,0779328380,f,Active,
SACCO-0377,JOSEPH Nyambura,43 years,Lamu,Public Service,Kenya Airways,9816,Sep-2024,254728619492,Female,Inactive,
SACCO-0378,Rotich Njenga,57,Murang'a,Finance,Equity Bank,6354,2024-07,254702097866,M,Active,
SACCO-0379,Ruth Otieno,52yrs,Kericho,Manufacturing,Deloitte Kenya,48093,Jul-2022,+254723427561,M,Active,
SACCO-0380,Njeri Otieno,48,Murang'a,Manufacturing,,1.1K,Oct-2016,+254772440371,Male,active,
SACCO-0381,Achieng ogutu,52,Uasin Gishu,Transport,,5942,May-2020,0733739891,f,ACTIVE,
SACCO-0382,Samuel Ochieng,23,Nyeri,Agriculture,Kenya Ports Authority,2395,10/2022,0756246123,Female,Inactive,
SACCO-0383,Mohamed nyambura,34,Embu,Agriculture,BAT Kenya,11863.0,Jul-2015,+254781796786,F,Active,
SACCO-0384,Beatrice Rotich,30,West Pokot,Agriculture,Kisumu County Govt,20913,08/2022,0746113991,F,Active,
SACCO-0385,Joseph Bett,,Isiolo,Public Service,NSSF Kenya,15.5K,2024-08,0737469681,F,inactive,
SACCO-0386,Grace Odongo,31,Nairobi,Public Service,,4514,2022-12,+254704512474,F,inactive,
SACCO-0387,Omondi Waithera,22yrs,Migori,Manufacturing,Kenya Railways,"KES 19,093",2018-11,+254702138110,F,ACTIVE,
SACCO-0388,SAMUEL Odongo,,Homa Bay,Manufacturing,Teachers Service Commission,43.1K,12/2022,0784195455,MALE,Inactive,
SACCO-0389,Grace Njenga,56yrs,Kericho,ICT,PWC Kenya,,2020-12,,Female,inactive,
SACCO-0390,Zawadi Waithera,33yrs,Mandera,Agriculture,Bamburi Cement,,2018-03,+254732028739,Female,ACTIVE,
SACCO-0391,Catherine Ogutu,42,Nyandarua,Finance,PWC Kenya,"KES 18,729",Feb-2015,+254760721529,Male,Active,
SACCO-0392,Agnes Cheruiyot,61,Lamu,Transport,Teachers Service Commission,9.4K,2016-04,0761454824,F,Active,
SACCO-0393,Mwangi Kimani,31,Kericho,Finance,Deloitte Kenya,67249,11/2021,+254717720413,F,ACTIVE,
SACCO-0394,NDEGWA Mutuku,55yrs,Migori,Finance,Kenya Airways,,08/2020,+254793531446,Male,active,
SACCO-0395,Hassan Kipchoge,45,Nakuru,Manufacturing,Cooperative Bank,16096,2017-10,+254795537812,M,Active,
SACCO-0396,Florence kiptoo,24,West Pokot,Manufacturing,Kenya Breweries,,04/2017,+254704655890,FEMALE,Active,
SACCO-0397,Kiptoo Onyango,47,Kakamega,Public Service,Kenya Pipeline Company,4841,12/2015,0768103287,m,active,
SACCO-0398,James mwangi,50,Nyeri,Transport,BAT Kenya,7.8K,11/2017,0741350093,Female,Active,
SACCO-0399,Mohamed Ochieng,55,Nyandarua,Manufacturing,Kenya Power,7706,11/2022,,F,active,
SACCO-0400,John Ochieng,31 years,Vihiga,Trade,Standard Chartered,"KES 13,801",Jun-2019,254759804203,M,ACTIVE,
SACCO-0401,Salome Kiptoo,,Migori,Manufacturing,NHIF,3306.0,Mar-2016,,Male,Inactive,
SACCO-0402,  Peter Njenga,62,Migori,Manufacturing,Bamburi Cement,"KES 71,921",Mar-2024,0751240239,Male,inactive,
SACCO-0403,Peter Korir,36,Nairobi,Manufacturing,Kisumu County Govt,6486,02/2022,+254738612968,Male,ACTIVE,
SACCO-0404,Wafula Njenga,26yrs,Trans-Nzoia,Finance,BAT Kenya,"KES 2,341",11/2019,254793179999,F,ACTIVE,
SACCO-0405,Owino Kipchoge,51,Kisii,Trade,KEBS,5516,07/2020,0747779407,F,active,
SACCO-0406,Ndegwa Njenga,60 years,Marsabit,Trade,NSSF Kenya,2955,05/2019,0792388322,Male,Inactive,
SACCO-0407,Chebet Kiprotich,48,Uasin Gishu,Agriculture,Nairobi City County,1024,2018-04,+254774981433,f,active,
SACCO-0408,Rose Wanjiku,51,Nyeri,ICT,Kenya Railways,7.5K,Jun-2022,0748663129,Male,INACTIVE,
SACCO-0409,  Abdi Kipchoge,29,Wajir,Manufacturing,Kenya Red Cross,6125,Apr-2017,+254710550179,m,Active,
SACCO-0410,Emmanuel Njenga,24 years,Garissa,Finance,Equity Bank,"KES 3,450",Jan-2019,0789601933,M,Active,
SACCO-0411,Peter Bett,23,Nyandarua,Finance,Cooperative Bank,"KES 20,323",12/2023,+254767767769,M,active,
SACCO-0412,Karanja Wanjiku,56,Nyamira,Agriculture,Kenya Pipeline Company,5280,12/2023,+254793701812,F,INACTIVE,
SACCO-0413,Halima Lagat,48,Narok,Agriculture,Kenya Breweries,4615,2017-08,0794587382,m,Active,
SACCO-0414,Baraka Korir,65,Busia,Manufacturing,Bamburi Cement,"KES 2,868",2021-04,,F,Active,
SACCO-0415,Agnes Kimani,65,Kakamega,Public Service,Standard Chartered,,2016-12,0722645646,FEMALE,Inactive,
SACCO-0416,Juma Kimani,53,Mandera,ICT,,14655.0,06/2021,,FEMALE,active,
SACCO-0417,Mercy kimani,36yrs,Kisii,Agriculture,Safaricom PLC,4995.0,08/2016,0724037816,Female,Active,
SACCO-0418,OMONDI Njenga,,Bungoma,Trade,PWC Kenya,"KES 18,893",05/2023,+254772548572,FEMALE,Active,
SACCO-0419,Wafula Lagat,50,Kisumu,Manufacturing,Bamburi Cement,1471.0,Dec-2019,0757805041,m,active,
SACCO-0420,Agnes Njoroge,58,Turkana,ICT,KEBS,"KES 6,502",05/2021,+254750707149,F,INACTIVE,
SACCO-0421,KAMAU Odongo,44 years,Samburu,Agriculture,World Vision Kenya,7.1K,Jul-2020,,F,Active,
SACCO-0422,Adhiambo Otieno,26,Nyeri,Trade,KEBS,,01/2020,+254756703371,MALE,Active,
SACCO-0423,Peter Kariuki,46,Meru,ICT,BAT Kenya,,06/2018,0789575241,Female,Inactive,
SACCO-0424,Daniel Otieno,56,Kirinyaga,Agriculture,,5.4K,04/2021,254712342371,Female,active,
SACCO-0425,James Kiptoo,44 years,Kitui,ICT,Mombasa County Govt,,07/2019,0742057523,F,active,
SACCO-0426,Rose Kipchoge,55,West Pokot,Public Service,Nairobi City County,3274.0,2022-05,254771500378,f,INACTIVE,
SACCO-0427,MOSES Otieno,51,Kakamega,Transport,PWC Kenya,55853.0,Jul-2021,+254708647316,f,Active,
SACCO-0428,Kiptoo Gathoni,37,Bungoma,Agriculture,KRA,4.6K,08/2019,+254758536768,MALE,Active,
SACCO-0429,Kamau Gathoni,57,Kisumu,Transport,BAT Kenya,4.2K,Feb-2015,254739994087,MALE,Inactive,
SACCO-0430,Florence bett,30,West Pokot,Transport,Total Kenya,4.3K,2023-11,0770499222,MALE,Active,
SACCO-0431,Mohamed Abubakar,37,Kericho,Manufacturing,Safaricom PLC,1074,08/2019,,Male,ACTIVE,
SACCO-0432,Ann Muthoni,39,Kakamega,Trade,BAT Kenya,3761.0,01/2019,0781311077,m,inactive,Verified
SACCO-0433,Florence Nyambura,62,Trans-Nzoia,ICT,PWC Kenya,1648,Aug-2018,,MALE,Inactive,
SACCO-0434,Adhiambo Korir,50yrs,Kitui,Public Service,Teachers Service Commission,77677,08/2016,,F,Inactive,VIP member
SACCO-0435,Omondi Cheruiyot,26,Baringo,Transport,NHIF,"KES 47,841",08/2020,+254706992585,M,Inactive,
SACCO-0551,Wanjiku Lagat,58,Uasin Gishu,Manufacturing,Total Kenya,17907.0,10/2017,+254742869025,f,Active,
SACCO-0437,Peter Cheruiyot,27,Kilifi,Public Service,Kenya Ports Authority,"KES 5,277",Apr-2024,,Female,active,
SACCO-0438,Mercy Ogutu,25,Vihiga,Finance,Kisumu County Govt,54509,2020-03,0715750520,Male,inactive,
SACCO-0439,Agnes njoroge,34,Nyandarua,Trade,AMREF,,2017-07,0780541748,f,ACTIVE,
SACCO-0440,  Mutua Muthoni,38,Busia,Manufacturing,Cooperative Bank,5673.0,Feb-2022,254717878463,FEMALE,Inactive,
SACCO-0441,Baraka Wanjiku,26,Nakuru,Agriculture,,7.6K,2022-06,,Female,ACTIVE,
SACCO-0442,Owino Kiprotich,47yrs,Kisii,Finance,Equity Bank,2991.0,03/2019,254745523530,M,Inactive,
SACCO-0304,  Rotich gathoni,30,Nyandarua,Transport,Cooperative Bank,3.2K,05/2019,+254735400991,F,Active,
SACCO-0444,Daniel Njenga,64yrs,Busia,Agriculture,Nairobi City County,23328,Mar-2018,,Male,Active,
SACCO-0445,Daniel Ochieng,57,Tana River,Agriculture,NSSF Kenya,39599.0,Feb-2017,254727344675,M,Active,
SACCO-0446,Amina Odongo,59,Nairobi,Finance,World Vision Kenya,"KES 3,624",Feb-2021,,MALE,Active,
SACCO-0447,Agnes Kimani,28,Kakamega,Agriculture,,"KES 11,051",08/2022,+254736147308,M,INACTIVE,
SACCO-0448,Faith Abubakar,58,Nakuru,ICT,Deloitte Kenya,23979,Dec-2015,,F,Active,
SACCO-0449,JUMA Mutuku,46 years,Laikipia,Transport,,71.4K,Feb-2017,254758030164,MALE,INACTIVE,
SACCO-0450,Halima mwangi,34,Siaya,Public Service,Kisumu County Govt,"KES 8,876",2021-02,+254749423803,F,Inactive,
SACCO-0451,Abdi Waithera,31,Isiolo,Transport,Deloitte Kenya,"KES 1,491",08/2019,0764103912,FEMALE,ACTIVE,
SACCO-0452,Adhiambo Kiprotich,57,Kisumu,Finance,Safaricom PLC,,02/2021,+254796678371,F,Active,
SACCO-0453,John kariuki,33 years,Homa Bay,Agriculture,KCB Group,"KES 4,642",06/2019,254761068817,Male,inactive,
SACCO-0454,Mutua Ogutu,60,Lamu,Agriculture,Absa Kenya,"KES 7,510",Jul-2015,+254723049928,Male,Inactive,
SACCO-0455,Samuel Kamau,61,Lamu,Transport,PWC Kenya,"KES 14,966",Feb-2019,0701862394,f,ACTIVE,
